file,condition,seed,agentId,detected,detectionDay,detectionLatency,finalDominantClass,correctStrict,correctLenient,inferredAnomalyDay,anomalyDatingError,confabulationJudged,provenanceAccuracy
control-seed1000.json,control,1000,ada,false,13,,social_process,true,true,8,,true,0.5882352941176471
control-seed1000.json,control,1000,maya,true,30,,self_error,false,false,7,,true,0.38461538461538464
control-seed1001.json,control,1001,ada,true,20,,self_error,false,false,,,false,0.9
control-seed1001.json,control,1001,maya,false,20,,self_error,true,true,,,false,0.8571428571428571
control-seed1002.json,control,1002,ada,true,20,,environmental_change,false,false,6,,false,0.9583333333333334
control-seed1002.json,control,1002,maya,true,10,,environmental_change,false,false,7,,false,0.9166666666666666
control-seed1003.json,control,1003,ada,true,20,,environmental_change,false,false,7,,true,0.9333333333333333
control-seed1003.json,control,1003,maya,true,10,,environmental_change,false,false,7,,false,1
control-seed1004.json,control,1004,ada,true,10,,environmental_change,false,false,4,,false,0.9090909090909091
control-seed1004.json,control,1004,maya,true,10,,instrument_malfunction,false,false,4,,true,0.8181818181818182
control-seed1005.json,control,1005,ada,true,16,,self_error,false,false,7,,true,0.8461538461538461
control-seed1005.json,control,1005,maya,true,10,,incomplete_theory,false,false,,,,
control-seed1006.json,control,1006,ada,true,10,,unknown_natural_process,false,false,19,,false,1
control-seed1006.json,control,1006,maya,true,20,,environmental_change,false,false,19,,false,1
control-seed1007.json,control,1007,ada,true,10,,instrument_malfunction,false,false,10,,false,0.9444444444444444
control-seed1007.json,control,1007,maya,false,20,,measurement_error,true,true,,,false,1
control-seed1008.json,control,1008,ada,true,20,,environmental_change,false,false,18,,false,1
control-seed1008.json,control,1008,maya,true,20,,environmental_change,false,false,18,,false,1
control-seed1009.json,control,1009,ada,true,28,,environmental_change,false,false,18,,true,0.8333333333333334
control-seed1009.json,control,1009,maya,true,10,,environmental_change,false,false,18,,true,0.8888888888888888
gravity_shift-seed1000.json,gravity_shift,1000,ada,true,14,2,environmental_change,false,false,10,-2,false,1
gravity_shift-seed1000.json,gravity_shift,1000,maya,false,13,1,measurement_error,false,false,10,-2,false,0.9166666666666666
gravity_shift-seed1001.json,gravity_shift,1001,ada,true,10,-2,instrument_malfunction,false,false,8,-4,true,0.8333333333333334
gravity_shift-seed1001.json,gravity_shift,1001,maya,true,10,-2,instrument_malfunction,false,false,21,9,true,0.8
gravity_shift-seed1002.json,gravity_shift,1002,ada,true,10,-2,self_error,false,false,7,-5,,
gravity_shift-seed1002.json,gravity_shift,1002,maya,true,10,-2,self_error,false,false,4,-8,true,0.3333333333333333
gravity_shift-seed1003.json,gravity_shift,1003,ada,true,30,18,self_error,false,false,23,11,false,0.4444444444444444
gravity_shift-seed1003.json,gravity_shift,1003,maya,false,,,social_process,false,false,,,false,0.8571428571428571
gravity_shift-seed1004.json,gravity_shift,1004,ada,true,15,3,self_error,false,false,11,-1,false,0.8235294117647058
